timestamp, system, entity, est-latitude, est-longitude, est-depth, value (rpm)
1678722202.100, lauv-simulator-1, Motor, 41.18386982, -8.70571100, 0.063, 0
1678722202.150, lauv-simulator-1, Motor, 41.18386982, -8.70571100, 0.067, 0
1678722202.200, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.067, 0
1678722202.250, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.140, 0
1678722202.300, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.140, 0
1678722202.350, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.074, 0
1678722202.400, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.074, 0
1678722202.450, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.123, 0
1678722202.500, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.123, 0
1678722202.550, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.037, 0
1678722202.600, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.037, 0
1678722202.650, lauv-simulator-1, Motor, 41.18386983, -8.70571100, 0.084, 0
1678722202.700, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.084, 0
1678722202.750, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.008, 0
1678722202.800, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.008, 0
1678722202.850, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.013, 0
1678722202.900, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.013, 0
1678722202.950, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.015, 0
1678722203.000, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.015, 0
1678722203.050, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.091, 0
1678722203.100, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.091, 0
1678722203.150, lauv-simulator-1, Motor, 41.18386984, -8.70571100, 0.062, 0
1678722203.200, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.062, 0
1678722203.250, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.028, 0
1678722203.300, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.028, 0
1678722203.350, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.122, 0
1678722203.400, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.122, 0
1678722203.450, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.011, 0
1678722203.500, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.011, 0
1678722203.550, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.034, 0
1678722203.600, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.034, 0
1678722203.650, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.197, 0
1678722203.700, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.197, 0
1678722203.750, lauv-simulator-1, Motor, 41.18386985, -8.70571100, 0.038, 0
1678722203.800, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.038, 0
1678722203.850, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.079, 0
1678722203.900, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.079, 0
1678722203.950, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.039, 0
1678722204.000, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.039, 0
1678722204.050, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.076, 0
1678722204.100, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.076, 0
1678722204.150, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.007, 0
1678722204.200, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.007, 0
1678722204.250, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.004, 0
1678722204.300, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.004, 0
1678722204.350, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.032, 0
1678722204.400, lauv-simulator-1, Motor, 41.18386986, -8.70571100, 0.032, 0
1678722204.450, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.030, 0
1678722204.500, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.030, 0
1678722204.550, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.021, 0
1678722204.600, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.021, 0
1678722204.650, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.038, 0
1678722204.700, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.038, 0
1678722204.750, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.093, 0
1678722204.800, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.093, 0
1678722204.850, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.055, 0
1678722204.900, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.055, 0
1678722204.950, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.071, 0
1678722205.000, lauv-simulator-1, Motor, 41.18386987, -8.70571100, 0.071, 0
1678722205.050, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.006, 0
1678722205.100, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.006, 0
1678722205.150, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.001, 0
1678722205.200, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.001, 0
1678722205.250, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.007, 0
1678722205.300, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.007, 0
1678722205.350, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.091, 0
1678722205.400, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.091, 0
1678722205.450, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.024, 0
1678722205.500, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.024, 0
1678722205.550, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.055, 0
1678722205.600, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.055, 0
1678722205.650, lauv-simulator-1, Motor, 41.18386988, -8.70571100, 0.053, 0
1678722205.700, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.053, 0
1678722205.750, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.016, 0
1678722205.800, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.016, 0
1678722205.850, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.147, 0
1678722205.900, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.147, 0
1678722205.950, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.013, 0
1678722206.000, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.013, 0
1678722206.050, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.025, 0
1678722206.100, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.025, 0
1678722206.150, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.062, 0
1678722206.200, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.062, 0
1678722206.250, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.006, 0
1678722206.300, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.006, 0
1678722206.350, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.033, 0
1678722206.400, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.033, 0
1678722206.450, lauv-simulator-1, Motor, 41.18386989, -8.70571100, 0.061, 0
1678722206.500, lauv-simulator-1, Motor, 41.18386990, -8.70571100, 0.061, 0
1678722206.550, lauv-simulator-1, Motor, 41.18386990, -8.70571100, 0.054, 0
1678722206.600, lauv-simulator-1, Motor, 41.18386990, -8.70571100, 0.054, 0
1678722206.650, lauv-simulator-1, Motor, 41.18386990, -8.70571100, 0.032, 0
1678722206.700, lauv-simulator-1, Motor, 41.18386990, -8.70571100, 0.032, 0
1678722206.750, lauv-simulator-1, Motor, 41.18386991, -8.70571100, 0.003, 0
1678722206.800, lauv-simulator-1, Motor, 41.18386993, -8.70571100, 0.003, 0
1678722206.850, lauv-simulator-1, Motor, 41.18386997, -8.70571100, 0.094, 0
1678722206.900, lauv-simulator-1, Motor, 41.18387001, -8.70571100, 0.094, 0
1678722206.950, lauv-simulator-1, Motor, 41.18387007, -8.70571100, 0.031, 0
1678722207.000, lauv-simulator-1, Motor, 41.18387010, -8.70571100, 0.031, 0
1678722207.050, lauv-simulator-1, Motor, 41.18387019, -8.70571100, 0.060, 0
1678722207.100, lauv-simulator-1, Motor, 41.18387026, -8.70571100, 0.060, 0
1678722207.150, lauv-simulator-1, Motor, 41.18387034, -8.70571100, 0.044, 0
1678722207.200, lauv-simulator-1, Motor, 41.18387042, -8.70571100, 0.044, 0
1678722207.250, lauv-simulator-1, Motor, 41.18387051, -8.70571100, 0.053, 0
1678722207.300, lauv-simulator-1, Motor, 41.18387060, -8.70571101, 0.053, 0
1678722207.350, lauv-simulator-1, Motor, 41.18387070, -8.70571101, 0.140, 51
1678722207.400, lauv-simulator-1, Motor, 41.18387080, -8.70571101, 0.140, 103
1678722207.450, lauv-simulator-1, Motor, 41.18387091, -8.70571101, 0.079, 156
1678722207.500, lauv-simulator-1, Motor, 41.18387101, -8.70571101, 0.079, 210
1678722207.550, lauv-simulator-1, Motor, 41.18387114, -8.70571102, 0.087, 264
1678722207.600, lauv-simulator-1, Motor, 41.18387126, -8.70571102, 0.087, 268
1678722207.650, lauv-simulator-1, Motor, 41.18387138, -8.70571102, 0.057, 272
1678722207.700, lauv-simulator-1, Motor, 41.18387151, -8.70571103, 0.057, 276
1678722207.750, lauv-simulator-1, Motor, 41.18387164, -8.70571104, 0.010, 280
1678722207.800, lauv-simulator-1, Motor, 41.18387178, -8.70571104, 0.010, 283
1678722207.850, lauv-simulator-1, Motor, 41.18387192, -8.70571105, 0.068, 287
1678722207.900, lauv-simulator-1, Motor, 41.18387206, -8.70571106, 0.068, 291
1678722207.950, lauv-simulator-1, Motor, 41.18387220, -8.70571106, 0.048, 295
1678722208.000, lauv-simulator-1, Motor, 41.18387234, -8.70571107, 0.048, 299
1678722208.050, lauv-simulator-1, Motor, 41.18387249, -8.70571108, 0.095, 303
1678722208.100, lauv-simulator-1, Motor, 41.18387265, -8.70571109, 0.095, 307
1678722208.150, lauv-simulator-1, Motor, 41.18387280, -8.70571110, 0.124, 311
1678722208.200, lauv-simulator-1, Motor, 41.18387296, -8.70571111, 0.124, 315
1678722208.250, lauv-simulator-1, Motor, 41.18387312, -8.70571112, 0.096, 319
1678722208.300, lauv-simulator-1, Motor, 41.18387328, -8.70571113, 0.096, 323
1678722208.350, lauv-simulator-1, Motor, 41.18387345, -8.70571114, 0.009, 327
1678722208.400, lauv-simulator-1, Motor, 41.18387362, -8.70571115, 0.009, 331
1678722208.450, lauv-simulator-1, Motor, 41.18387379, -8.70571116, 0.045, 334
1678722208.500, lauv-simulator-1, Motor, 41.18387396, -8.70571117, 0.045, 338
1678722208.550, lauv-simulator-1, Motor, 41.18387413, -8.70571118, 0.004, 342
1678722208.600, lauv-simulator-1, Motor, 41.18387431, -8.70571120, 0.004, 346
1678722208.650, lauv-simulator-1, Motor, 41.18387449, -8.70571121, 0.089, 350
1678722208.700, lauv-simulator-1, Motor, 41.18387467, -8.70571123, 0.089, 354
1678722208.750, lauv-simulator-1, Motor, 41.18387486, -8.70571124, 0.040, 358
1678722208.800, lauv-simulator-1, Motor, 41.18387504, -8.70571125, 0.040, 362
1678722208.852, lauv-simulator-1, Motor, 41.18387525, -8.70571126, 0.004, 366
1678722208.900, lauv-simulator-1, Motor, 41.18387543, -8.70571127, 0.004, 370
1678722208.950, lauv-simulator-1, Motor, 41.18387562, -8.70571128, 0.113, 374
1678722209.000, lauv-simulator-1, Motor, 41.18387582, -8.70571130, 0.113, 378
1678722209.050, lauv-simulator-1, Motor, 41.18387602, -8.70571131, 0.048, 382
1678722209.100, lauv-simulator-1, Motor, 41.18387622, -8.70571132, 0.048, 385
1678722209.150, lauv-simulator-1, Motor, 41.18387643, -8.70571134, 0.060, 389
1678722209.200, lauv-simulator-1, Motor, 41.18387663, -8.70571135, 0.060, 393
1678722209.250, lauv-simulator-1, Motor, 41.18387684, -8.70571136, 0.099, 397
1678722209.300, lauv-simulator-1, Motor, 41.18387704, -8.70571137, 0.099, 401
1678722209.350, lauv-simulator-1, Motor, 41.18387727, -8.70571138, 0.031, 405
1678722209.400, lauv-simulator-1, Motor, 41.18387748, -8.70571139, 0.031, 409
1678722209.450, lauv-simulator-1, Motor, 41.18387770, -8.70571140, 0.003, 413
1678722209.500, lauv-simulator-1, Motor, 41.18387792, -8.70571142, 0.003, 417
1678722209.550, lauv-simulator-1, Motor, 41.18387814, -8.70571143, 0.015, 421
1678722209.600, lauv-simulator-1, Motor, 41.18387851, -8.70571143, 0.087, 425
1678722209.650, lauv-simulator-1, Motor, 41.18387874, -8.70571144, 0.087, 429
1678722209.700, lauv-simulator-1, Motor, 41.18387897, -8.70571145, 0.087, 432
1678722209.750, lauv-simulator-1, Motor, 41.18387909, -8.70571146, 0.046, 435
1678722209.800, lauv-simulator-1, Motor, 41.18387931, -8.70571146, 0.046, 439
1678722209.850, lauv-simulator-1, Motor, 41.18387953, -8.70571146, 0.030, 443
1678722209.900, lauv-simulator-1, Motor, 41.18387977, -8.70571147, 0.030, 447
1678722209.950, lauv-simulator-1, Motor, 41.18388001, -8.70571146, 0.003, 452
1678722210.000, lauv-simulator-1, Motor, 41.18388025, -8.70571147, 0.003, 456
1678722210.050, lauv-simulator-1, Motor, 41.18388049, -8.70571147, 0.013, 460
1678722210.100, lauv-simulator-1, Motor, 41.18388074, -8.70571147, 0.013, 464
1678722210.150, lauv-simulator-1, Motor, 41.18388099, -8.70571146, 0.057, 468
1678722210.200, lauv-simulator-1, Motor, 41.18388124, -8.70571146, 0.057, 472
1678722210.250, lauv-simulator-1, Motor, 41.18388150, -8.70571146, 0.005, 476
1678722210.300, lauv-simulator-1, Motor, 41.18388175, -8.70571145, 0.005, 480
1678722210.350, lauv-simulator-1, Motor, 41.18388201, -8.70571144, 0.123, 483
1678722210.400, lauv-simulator-1, Motor, 41.18388227, -8.70571143, 0.123, 487
1678722210.450, lauv-simulator-1, Motor, 41.18388254, -8.70571142, 0.086, 491
1678722210.500, lauv-simulator-1, Motor, 41.18388280, -8.70571141, 0.086, 495
1678722210.550, lauv-simulator-1, Motor, 41.18388307, -8.70571139, 0.081, 499
1678722210.600, lauv-simulator-1, Motor, 41.18388334, -8.70571137, 0.081, 503
1678722210.650, lauv-simulator-1, Motor, 41.18388362, -8.70571135, 0.047, 507
1678722210.700, lauv-simulator-1, Motor, 41.18388389, -8.70571133, 0.047, 511
1678722210.750, lauv-simulator-1, Motor, 41.18388417, -8.70571130, 0.004, 515
1678722210.800, lauv-simulator-1, Motor, 41.18388444, -8.70571128, 0.004, 519
1678722210.850, lauv-simulator-1, Motor, 41.18388473, -8.70571125, 0.052, 523
1678722210.900, lauv-simulator-1, Motor, 41.18388501, -8.70571122, 0.052, 527
1678722210.950, lauv-simulator-1, Motor, 41.18388530, -8.70571118, 0.080, 531
1678722211.000, lauv-simulator-1, Motor, 41.18388558, -8.70571114, 0.080, 534
1678722211.050, lauv-simulator-1, Motor, 41.18388587, -8.70571110, 0.051, 538
1678722211.100, lauv-simulator-1, Motor, 41.18388616, -8.70571106, 0.051, 542
1678722211.150, lauv-simulator-1, Motor, 41.18388646, -8.70571100, 0.027, 546
1678722211.200, lauv-simulator-1, Motor, 41.18388675, -8.70571096, 0.027, 550
1678722211.250, lauv-simulator-1, Motor, 41.18388705, -8.70571090, 0.002, 554
1678722211.300, lauv-simulator-1, Motor, 41.18388735, -8.70571085, 0.002, 558
1678722211.350, lauv-simulator-1, Motor, 41.18388765, -8.70571079, 0.062, 562
1678722211.400, lauv-simulator-1, Motor, 41.18388795, -8.70571072, 0.062, 566
1678722211.450, lauv-simulator-1, Motor, 41.18388826, -8.70571066, 0.006, 570
1678722211.500, lauv-simulator-1, Motor, 41.18388856, -8.70571059, 0.006, 574
1678722211.550, lauv-simulator-1, Motor, 41.18388887, -8.70571051, 0.090, 578
1678722211.600, lauv-simulator-1, Motor, 41.18388918, -8.70571043, 0.090, 581
1678722211.650, lauv-simulator-1, Motor, 41.18388949, -8.70571035, 0.027, 585
1678722211.700, lauv-simulator-1, Motor, 41.18388980, -8.70571026, 0.027, 589
1678722211.750, lauv-simulator-1, Motor, 41.18389012, -8.70571016, 0.034, 593
1678722211.800, lauv-simulator-1, Motor, 41.18389043, -8.70571007, 0.034, 597
1678722211.850, lauv-simulator-1, Motor, 41.18389076, -8.70570996, 0.069, 601
1678722211.900, lauv-simulator-1, Motor, 41.18389107, -8.70570986, 0.069, 605
1678722211.950, lauv-simulator-1, Motor, 41.18389140, -8.70570975, 0.040, 609
1678722212.000, lauv-simulator-1, Motor, 41.18389171, -8.70570963, 0.040, 613
1678722212.050, lauv-simulator-1, Motor, 41.18389204, -8.70570950, 0.004, 617
1678722212.100, lauv-simulator-1, Motor, 41.18389236, -8.70570938, 0.004, 621
1678722212.150, lauv-simulator-1, Motor, 41.18389269, -8.70570925, 0.019, 625
1678722212.200, lauv-simulator-1, Motor, 41.18389301, -8.70570912, 0.019, 629
1678722212.250, lauv-simulator-1, Motor, 41.18389334, -8.70570897, 0.005, 632
1678722212.300, lauv-simulator-1, Motor, 41.18389367, -8.70570883, 0.005, 636
1678722212.350, lauv-simulator-1, Motor, 41.18389400, -8.70570866, 0.112, 640
1678722212.400, lauv-simulator-1, Motor, 41.18389433, -8.70570851, 0.112, 644
1678722212.450, lauv-simulator-1, Motor, 41.18389466, -8.70570834, 0.010, 648
1678722212.500, lauv-simulator-1, Motor, 41.18389499, -8.70570817, 0.010, 652
1678722212.550, lauv-simulator-1, Motor, 41.18389533, -8.70570799, 0.051, 656
1678722212.600, lauv-simulator-1, Motor, 41.18389565, -8.70570781, 0.051, 660
1678722212.650, lauv-simulator-1, Motor, 41.18389599, -8.70570762, 0.094, 664
1678722212.700, lauv-simulator-1, Motor, 41.18389632, -8.70570743, 0.094, 668
1678722212.750, lauv-simulator-1, Motor, 41.18389666, -8.70570722, 0.020, 672
1678722212.800, lauv-simulator-1, Motor, 41.18389699, -8.70570702, 0.020, 676
1678722212.850, lauv-simulator-1, Motor, 41.18389733, -8.70570680, 0.051, 679
1678722212.900, lauv-simulator-1, Motor, 41.18389766, -8.70570658, 0.051, 683
1678722212.950, lauv-simulator-1, Motor, 41.18389800, -8.70570635, 0.005, 687
1678722213.000, lauv-simulator-1, Motor, 41.18389833, -8.70570612, 0.005, 691
1678722213.050, lauv-simulator-1, Motor, 41.18389867, -8.70570587, 0.004, 695
1678722213.100, lauv-simulator-1, Motor, 41.18389900, -8.70570563, 0.004, 699
1678722213.150, lauv-simulator-1, Motor, 41.18389934, -8.70570537, 0.057, 703
1678722213.200, lauv-simulator-1, Motor, 41.18389966, -8.70570512, 0.057, 707
1678722213.250, lauv-simulator-1, Motor, 41.18390000, -8.70570484, 0.148, 711
1678722213.300, lauv-simulator-1, Motor, 41.18390033, -8.70570457, 0.148, 715
1678722213.350, lauv-simulator-1, Motor, 41.18390067, -8.70570427, 0.024, 719
1678722213.400, lauv-simulator-1, Motor, 41.18390099, -8.70570399, 0.024, 723
1678722213.450, lauv-simulator-1, Motor, 41.18390133, -8.70570369, 0.073, 727
1678722213.500, lauv-simulator-1, Motor, 41.18390165, -8.70570339, 0.073, 730
1678722213.550, lauv-simulator-1, Motor, 41.18390198, -8.70570307, 0.057, 734
1678722213.600, lauv-simulator-1, Motor, 41.18390230, -8.70570276, 0.057, 738
1678722213.650, lauv-simulator-1, Motor, 41.18390263, -8.70570243, 0.069, 742
1678722213.700, lauv-simulator-1, Motor, 41.18390294, -8.70570210, 0.069, 746
1678722213.750, lauv-simulator-1, Motor, 41.18390328, -8.70570174, 0.006, 750
1678722213.800, lauv-simulator-1, Motor, 41.18390359, -8.70570140, 0.006, 754
1678722213.850, lauv-simulator-1, Motor, 41.18390392, -8.70570104, 0.080, 758
1678722213.900, lauv-simulator-1, Motor, 41.18390422, -8.70570068, 0.080, 762
1678722213.950, lauv-simulator-1, Motor, 41.18390455, -8.70570029, 0.007, 766
1678722214.000, lauv-simulator-1, Motor, 41.18390485, -8.70569992, 0.007, 770
1678722214.050, lauv-simulator-1, Motor, 41.18390517, -8.70569952, 0.031, 774
1678722214.100, lauv-simulator-1, Motor, 41.18390546, -8.70569914, 0.031, 777
1678722214.150, lauv-simulator-1, Motor, 41.18390578, -8.70569872, 0.046, 781
1678722214.200, lauv-simulator-1, Motor, 41.18390607, -8.70569832, 0.046, 785
1678722214.250, lauv-simulator-1, Motor, 41.18390637, -8.70569789, 0.004, 789
1678722214.300, lauv-simulator-1, Motor, 41.18390666, -8.70569747, 0.004, 793
1678722214.350, lauv-simulator-1, Motor, 41.18390696, -8.70569703, 0.091, 797
1678722214.400, lauv-simulator-1, Motor, 41.18390724, -8.70569660, 0.091, 801
1678722214.450, lauv-simulator-1, Motor, 41.18390753, -8.70569613, 0.097, 805
1678722214.500, lauv-simulator-1, Motor, 41.18390780, -8.70569569, 0.097, 809
1678722214.550, lauv-simulator-1, Motor, 41.18390809, -8.70569520, 0.009, 813
1678722214.600, lauv-simulator-1, Motor, 41.18390836, -8.70569474, 0.009, 817
1678722214.650, lauv-simulator-1, Motor, 41.18390864, -8.70569424, 0.028, 821
1678722214.700, lauv-simulator-1, Motor, 41.18390889, -8.70569377, 0.028, 825
1678722214.750, lauv-simulator-1, Motor, 41.18390916, -8.70569325, 0.040, 828
1678722214.800, lauv-simulator-1, Motor, 41.18390941, -8.70569276, 0.040, 832
1678722214.850, lauv-simulator-1, Motor, 41.18390967, -8.70569223, 0.040, 836
1678722214.900, lauv-simulator-1, Motor, 41.18390991, -8.70569173, 0.040, 840
1678722214.950, lauv-simulator-1, Motor, 41.18391016, -8.70569118, 0.010, 844
1678722215.000, lauv-simulator-1, Motor, 41.18391039, -8.70569066, 0.010, 848
1678722215.050, lauv-simulator-1, Motor, 41.18391063, -8.70569010, 0.064, 852
1678722215.100, lauv-simulator-1, Motor, 41.18391085, -8.70568957, 0.064, 856
1678722215.150, lauv-simulator-1, Motor, 41.18391108, -8.70568899, 0.073, 860
1678722215.200, lauv-simulator-1, Motor, 41.18391129, -8.70568844, 0.073, 864
1678722215.250, lauv-simulator-1, Motor, 41.18391151, -8.70568785, 0.049, 868
1678722215.300, lauv-simulator-1, Motor, 41.18391170, -8.70568729, 0.049, 872
1678722215.350, lauv-simulator-1, Motor, 41.18391191, -8.70568669, 0.067, 876
1678722215.400, lauv-simulator-1, Motor, 41.18391209, -8.70568611, 0.067, 879
1678722215.450, lauv-simulator-1, Motor, 41.18391229, -8.70568549, 0.070, 883
1678722215.500, lauv-simulator-1, Motor, 41.18391246, -8.70568490, 0.070, 887
1678722215.550, lauv-simulator-1, Motor, 41.18391264, -8.70568427, 0.112, 891
1678722215.600, lauv-simulator-1, Motor, 41.18391280, -8.70568367, 0.112, 895
1678722215.650, lauv-simulator-1, Motor, 41.18391296, -8.70568302, 0.031, 899
1678722215.700, lauv-simulator-1, Motor, 41.18391311, -8.70568241, 0.031, 903
1678722215.750, lauv-simulator-1, Motor, 41.18391326, -8.70568175, 0.058, 907
1678722215.800, lauv-simulator-1, Motor, 41.18391339, -8.70568113, 0.058, 911
1678722215.850, lauv-simulator-1, Motor, 41.18391352, -8.70568045, 0.005, 915
1678722215.900, lauv-simulator-1, Motor, 41.18391364, -8.70567982, 0.005, 919
1678722215.950, lauv-simulator-1, Motor, 41.18391376, -8.70567913, 0.000, 923
1678722216.000, lauv-simulator-1, Motor, 41.18391386, -8.70567849, 0.000, 926
1678722216.050, lauv-simulator-1, Motor, 41.18391396, -8.70567779, 0.021, 930
1678722216.100, lauv-simulator-1, Motor, 41.18391405, -8.70567714, 0.021, 934
1678722216.150, lauv-simulator-1, Motor, 41.18391413, -8.70567643, 0.097, 938
1678722216.200, lauv-simulator-1, Motor, 41.18391420, -8.70567577, 0.097, 942
1678722216.250, lauv-simulator-1, Motor, 41.18391427, -8.70567505, 0.041, 946
1678722216.300, lauv-simulator-1, Motor, 41.18391432, -8.70567438, 0.041, 950
1678722216.350, lauv-simulator-1, Motor, 41.18391437, -8.70567365, 0.046, 954
1678722216.400, lauv-simulator-1, Motor, 41.18391440, -8.70567298, 0.046, 958
1678722216.450, lauv-simulator-1, Motor, 41.18391444, -8.70567224, 0.068, 962
1678722216.500, lauv-simulator-1, Motor, 41.18391445, -8.70567156, 0.068, 966
1678722216.550, lauv-simulator-1, Motor, 41.18391446, -8.70567081, 0.047, 970
1678722216.600, lauv-simulator-1, Motor, 41.18391446, -8.70567012, 0.047, 974
1678722216.650, lauv-simulator-1, Motor, 41.18391445, -8.70566937, 0.053, 977
1678722216.700, lauv-simulator-1, Motor, 41.18391443, -8.70566868, 0.053, 981
1678722216.750, lauv-simulator-1, Motor, 41.18391441, -8.70566792, 0.073, 985
1678722216.800, lauv-simulator-1, Motor, 41.18391437, -8.70566722, 0.073, 989
1678722216.850, lauv-simulator-1, Motor, 41.18391432, -8.70566646, 0.007, 993
1678722216.900, lauv-simulator-1, Motor, 41.18391426, -8.70566576, 0.007, 997
1678722216.950, lauv-simulator-1, Motor, 41.18391419, -8.70566499, 0.052, 1001
1678722217.000, lauv-simulator-1, Motor, 41.18391411, -8.70566429, 0.052, 1005
1678722217.050, lauv-simulator-1, Motor, 41.18391402, -8.70566352, 0.084, 1009
1678722217.100, lauv-simulator-1, Motor, 41.18391392, -8.70566282, 0.084, 1013
1678722217.150, lauv-simulator-1, Motor, 41.18391381, -8.70566205, 0.008, 1017
1678722217.200, lauv-simulator-1, Motor, 41.18391369, -8.70566135, 0.008, 1021
1678722217.250, lauv-simulator-1, Motor, 41.18391356, -8.70566058, 0.001, 1025
1678722217.300, lauv-simulator-1, Motor, 41.18391342, -8.70565988, 0.001, 1028
1678722217.350, lauv-simulator-1, Motor, 41.18391326, -8.70565911, 0.043, 1032
1678722217.400, lauv-simulator-1, Motor, 41.18391311, -8.70565841, 0.043, 1036
1678722217.450, lauv-simulator-1, Motor, 41.18391293, -8.70565765, 0.004, 1040
1678722217.500, lauv-simulator-1, Motor, 41.18391275, -8.70565696, 0.004, 1044
1678722217.550, lauv-simulator-1, Motor, 41.18391255, -8.70565620, 0.113, 1048
1678722217.600, lauv-simulator-1, Motor, 41.18391235, -8.70565552, 0.113, 1052
1678722217.650, lauv-simulator-1, Motor, 41.18391213, -8.70565476, 0.025, 1056
1678722217.700, lauv-simulator-1, Motor, 41.18391191, -8.70565409, 0.025, 1060
1678722217.750, lauv-simulator-1, Motor, 41.18391167, -8.70565334, 0.095, 1064
1678722217.800, lauv-simulator-1, Motor, 41.18391143, -8.70565267, 0.095, 1067
1678722217.850, lauv-simulator-1, Motor, 41.18391117, -8.70565193, 0.031, 1070
1678722217.900, lauv-simulator-1, Motor, 41.18391091, -8.70565127, 0.031, 1071
1678722217.950, lauv-simulator-1, Motor, 41.18391062, -8.70565055, 0.020, 1072
1678722218.000, lauv-simulator-1, Motor, 41.18391034, -8.70564989, 0.020, 1072
1678722218.050, lauv-simulator-1, Motor, 41.18391004, -8.70564918, 0.002, 1072
1678722218.100, lauv-simulator-1, Motor, 41.18390974, -8.70564854, 0.002, 1072
1678722218.150, lauv-simulator-1, Motor, 41.18390941, -8.70564784, 0.067, 1071
1678722218.200, lauv-simulator-1, Motor, 41.18390910, -8.70564722, 0.067, 1071
1678722218.250, lauv-simulator-1, Motor, 41.18390875, -8.70564653, 0.006, 1071
